Especialidad,Jornada_Horaria,Mes,Semana_Iso,Dia_Sem_Iso,Oferta_programada,Bloqueo,Oferta_disponible,Citas_asignadas,Sobrecupos,Cupos_Vendidos,Ticket_Integral_Especialidad
Categoria_06,Turno_B,3,11,1,6,0,6,6,0,0,717611
Categoria_42,Turno_B,3,11,4,26,0,26,26,0,0,934414
Categoria_61,Turno_A,3,10,6,10,0,10,0,0,0,144633
Categoria_34,Turno_B,3,11,1,13,0,13,1,0,0,904498
Categoria_67,Turno_A,3,12,5,28,0,28,0,0,0,713550
Categoria_60,Turno_B,3,12,2,16,0,16,0,0,0,40535
Categoria_53,Turno_B,3,13,5,15,0,15,2,0,0,860937
Categoria_07,Turno_A,3,10,6,6,0,6,3,0,0,927710
Categoria_16,Turno_A,3,13,5,14,0,14,0,0,0,263618
Categoria_16,Turno_A,3,10,2,20,0,20,1,0,0,263618
Categoria_61,Turno_A,3,12,4,22,0,22,0,0,0,144633
Categoria_37,Turno_A,2,9,5,15,0,15,15,0,0,294806
Categoria_64,Turno_A,2,9,1,16,0,16,14,0,0,386896
Categoria_54,Turno_B,3,12,4,5,0,5,1,0,0,130151
Categoria_36,Turno_A,3,11,6,17,0,17,1,0,0,499570
Categoria_42,Turno_A,3,10,2,18,0,18,18,0,0,934414
Categoria_15,Turno_B,3,14,2,12,0,12,0,0,0,482525
Categoria_07,Turno_B,2,9,4,6,6,0,0,0,0,927710
Categoria_11,Turno_B,3,14,1,14,0,14,2,0,0,923910
Categoria_64,Turno_A,3,11,3,36,0,36,0,0,0,386896
Categoria_67,Turno_B,3,13,1,22,0,22,0,0,0,713550
Categoria_14,Turno_A,3,10,2,4,0,4,0,0,0,658663
Categoria_17,Turno_A,3,11,5,8,0,8,1,0,0,312918
Categoria_61,Turno_A,3,11,3,12,0,12,5,0,0,144633
Categoria_22,Turno_A,2,9,3,4,4,0,0,0,0,907421
Categoria_07,Turno_A,3,13,2,10,0,10,0,0,0,927710
Categoria_04,Turno_A,3,11,2,11,0,11,0,0,0,298998
Categoria_66,Turno_B,3,13,3,16,0,16,0,0,0,146330
